codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,2,41,3007,29
1,1,2,41,3008,1
1,1,2,41,503,54
1,1,2,41,3009,5
1,1,2,41,505,17
1,1,2,41,506,9
1,1,2,42,9001,343
1,1,2,42,9002,228
1,1,2,42,9003,0
1,1,2,42,9004,5
1,1,2,42,9005,5
1,1,2,42,9006,1
1,1,2,42,8,2
1,1,2,42,68,6
1,1,2,42,187,11
1,1,2,42,3001,0
1,1,2,42,3002,1
1,1,2,42,3003,0
1,1,2,42,3004,2
1,1,2,42,234,0
1,1,2,42,324,1
1,1,2,42,325,1
1,1,2,42,501,65
1,1,2,42,3005,10
1,1,2,42,3006,20
1,1,2,42,3007,26
1,1,2,42,3008,2
1,1,2,42,503,51
1,1,2,42,3009,2
1,1,2,42,505,11
1,1,2,42,506,6
1,1,2,43,9001,342
1,1,2,43,9002,232
1,1,2,43,9003,0
1,1,2,43,9004,4
1,1,2,43,9005,2
1,1,2,43,9006,0
1,1,2,43,8,1
1,1,2,43,68,1
1,1,2,43,187,8
1,1,2,43,3001,2
1,1,2,43,3002,0
1,1,2,43,3003,0
1,1,2,43,3004,0
1,1,2,43,234,4
1,1,2,43,324,2
1,1,2,43,325,3
1,1,2,43,501,54
1,1,2,43,3005,14
1,1,2,43,3006,23
1,1,2,43,3007,29
1,1,2,43,3008,3
1,1,2,43,503,61
1,1,2,43,3009,1
1,1,2,43,505,11
1,1,2,43,506,9
1,1,2,44,9001,342
1,1,2,44,9002,234
1,1,2,44,9003,0
1,1,2,44,9004,3
1,1,2,44,9005,3
1,1,2,44,9006,0
1,1,2,44,8,0
1,1,2,44,68,5
1,1,2,44,187,7
1,1,2,44,3001,2
1,1,2,44,3002,0
1,1,2,44,3003,0
